Symbol,Sector,Yearly_Return,Volatility,Avg_Price,Max_Price,Min_Price,Avg_Volume,Start_Price,End_Price,Price_Change
TRENT,RETAILING,223.09261327764563,2.3073798932652148,4670.86073943662,8234.95,1991.95,882024.559859155,2059.1,6652.8,4593.700000000001
BEL,DEFENCE,101.7600574712644,2.3283392059875143,233.57112676056337,335.5,128.85,28472446.580985915,139.2,280.85,141.65000000000003
M&M,AUTOMOBILES,95.97697411213734,1.9212772948786865,2251.2454225352117,3194.3,1454.6,3093708.2007042253,1537.4,3012.95,1475.5499999999997
BAJAJ-AUTO,AUTOMOBILES,89.01115330562449,1.7609369939821526,8586.158450704226,12666.4,4918.6,502406.588028169,5016.45,9481.65,4465.2
POWERGRID,POWER,68.8549235780506,1.8671442296664327,287.10070422535216,365.45,196.25,17529094.10915493,199.55,336.95,137.39999999999998
BPCL,ENERGY,67.47715022263885,2.2068851102664993,285.4819718309859,369.95,167.48,16170556.644366197,170.68,285.85,115.17000000000002
HEROMOTOCO,AUTOMOBILES,58.97665472874388,1.6563238026907097,4686.789612676055,6190.55,2955.1,732722.8732394367,3015.6,4794.1,1778.5000000000005
SUNPHARMA,PHARMACEUTICALS,57.28240395987558,1.1732822937748233,1527.812676056338,1948.7,1088.6,2198935.017605634,1141.45,1795.3,653.8499999999999
HCLTECH,SOFTWARE,53.25744732380721,1.429465068113172,1541.2547535211268,1898.4,1223.75,2979915.7077464787,1238.7,1898.4,659.7
NTPC,POWER,51.51326699834162,1.9475011701296694,346.281338028169,443.2,231.65,16639937.82746479,241.2,365.45,124.25
EICHERMOT,AUTOMOBILES,48.77961448946708,1.6098898407438091,4321.183802816901,5062.6,3282.25,635657.5774647887,3351.4,4986.2,1634.7999999999997
SHRIRAMFIN,FINANCE,48.28949764562034,2.168666460862403,2571.638204225352,3628.45,1797.6,1420213.38028169,1921.95,2850.05,928.1000000000001
TECHM,SOFTWARE,43.68113797072849,1.601986887491895,1382.732218309859,1747.45,1115.45,2179248.7429577466,1216.2,1747.45,531.25
COALINDIA,MINING,41.846522781774596,2.1411449147905546,435.5904929577465,540.4,287.8,11918318.838028168,291.9,414.05,122.15000000000003
WIPRO,SOFTWARE,40.991490935997035,1.746788628190528,484.5346830985915,573.5,378.25,7784437.665492957,405.45,571.65,166.2
ULTRACEMCO,CEMENT,36.970944863875545,1.4314596706888219,10265.760915492958,12065.0,8110.1,352559.78169014084,8304.9,11375.3,3070.3999999999996
ADANIPORTS,MISCELLANEOUS,36.72720712051961,2.6028643454512648,1260.5262323943662,1590.15,769.1,4814566.802816901,831.4,1136.75,305.35
ICICIBANK,BANKING,35.91938742954376,1.2788897388104716,1110.0607394366198,1338.45,908.65,14949379.665492957,940.3,1278.05,337.75
HINDALCO,ALUMINIUM,35.86831961662674,1.9586836411430932,608.9975352112677,761.55,456.15,6997897.316901408,479.95,652.1,172.15000000000003
GRASIM,TEXTILES,35.781988044977645,1.446511381198158,2354.8679577464786,2843.75,1842.23,800653.352112676,1913.84,2598.65,684.8100000000002
APOLLOHOSP,MISCELLANEOUS,35.478955645200685,1.4134574705070773,6191.419894366197,7424.85,4760.3,432472.9718309859,5118.95,6935.1,1816.1500000000005
SBIN,BANKING,35.34289742101333,1.7939344821740195,742.374471830986,905.65,547.0,17408250.024647888,602.95,816.05,213.0999999999999
ONGC,ENERGY,33.04442036836403,2.2247312175683365,260.17605633802816,341.75,180.9,18690706.78169014,184.6,245.6,61.0
INFY,SOFTWARE,32.6534170153417,1.4491913053868206,1629.8769366197184,1968.1,1354.15,6755539.116197183,1434.0,1902.25,468.25
TATAMOTORS,AUTOMOBILES,27.48811346603271,1.7876505156417157,896.3350352112676,1161.85,613.6,12091710.926056338,620.45,791.0,170.54999999999995
JSWSTEEL,STEEL,26.88737422914638,1.6383932356722217,874.2934859154929,1039.1,724.45,2225052.3274647887,770.25,977.35,207.10000000000002
CIPLA,PHARMACEUTICALS,25.67636117686845,1.6332415765760369,1430.2302816901408,1680.5,1150.85,1817625.088028169,1182.8,1486.5,303.70000000000005
TCS,SOFTWARE,20.796277587261848,1.3161771587106066,3952.0799295774655,4553.75,3330.65,2322424.4929577466,3513.85,4244.6,730.7500000000005
LT,ENGINEERING,17.253721630196047,1.6963904150046492,3483.0461267605638,3897.15,2864.6,2418356.5035211267,3073.25,3603.5,530.25
HDFCBANK,BANKING,15.752130234408671,1.348980040538228,1578.0330985915493,1783.45,1384.05,20048880.492957745,1508.05,1745.6,237.54999999999995
SBILIFE,INSURANCE,14.909667685403694,1.511342842619644,1528.8788732394366,1928.65,1270.55,1349238.2605633803,1292.45,1485.15,192.70000000000005
TATASTEEL,STEEL,11.546875,1.82316391523589,149.46517605633804,183.15,116.6,43942286.72887324,128.0,142.78,14.780000000000001
DRREDDY,PHARMACEUTICALS,11.178753867843358,1.2490100212885846,1232.324823943662,1412.49,1052.61,2062054.764084507,1092.34,1214.45,122.11000000000013
AXISBANK,BANKING,9.73536333509439,1.562496492915845,1126.4677816901408,1317.3,955.45,9618029.686619718,1041.05,1142.4,101.35000000000014
RELIANCE,ENERGY,9.172792214514974,1.3562067130073354,1388.0597535211266,1600.9,1113.25,12572108.193661971,1159.08,1265.4,106.32000000000016
HDFCLIFE,INSURANCE,8.625996369663024,1.4630077258587255,642.3647887323943,758.8,534.45,4379828.309859155,633.55,688.2,54.65000000000009
ITC,FOOD & TOBACCO,7.936327458783395,1.1943702458319616,454.5989436619719,522.75,403.35,14127310.507042253,439.75,474.65,34.89999999999998
MARUTI,AUTOMOBILES,6.9267123486261655,1.3712493772447982,11631.642429577465,13495.6,9860.45,560861.3345070423,10346.9,11063.6,716.7000000000007
TITAN,RETAILING,3.5181853734845467,1.4135893038630178,3490.904401408451,3866.65,3100.8,1142673.940140845,3196.25,3308.7,112.44999999999982
BAJAJFINSV,FINANCE,2.5495659972454408,1.4117849543856997,1653.2320422535213,2010.7,1477.3,1569381.8943661973,1561.05,1600.85,39.799999999999955
KOTAKBANK,BANKING,1.9918357893517904,1.4215663882255638,1772.9563380281688,1934.7,1546.7,5336166.295774648,1727.05,1761.45,34.40000000000009
NESTLEIND,FOOD & TOBACCO,0.707141320714141,1.251683363823686,2490.1184859154932,2755.5,2182.8,932418.3204225352,2231.52,2247.3,15.7800000000002
HINDUNILVR,FMCG,-0.9579164810239414,1.2073895796063714,2533.715845070423,3028.55,2194.05,1872679.852112676,2468.9,2445.25,-23.65000000000009
BAJFINANCE,FINANCE,-16.110874039861443,1.591849489773447,7088.844894366198,8168.55,6311.25,1179193.1584507043,7967.6,6683.95,-1283.6500000000005
ASIANPAINT,PAINTS,-21.93504586576567,1.2664679670924874,3019.3827464788733,3404.45,2428.15,1214614.3450704226,3166.85,2472.2,-694.6500000000001
INDUSINDBK,BANKING,-30.458408805907762,1.9111193335251304,1442.3605633802813,1688.85,981.45,3947158.9401408453,1435.4,998.2,-437.20000000000005
